행번호,지역,시설명,할인행사명,시작일,종료일,연락처,홈페이지,상세설명,카테고리,상세주소
1,서울,세종호텔,연중 객실할인,2018.9.17,,02-3705-9115,https://www.sejong.co.kr/kor/main/main.php,객실: 50% 이상/연회 : 10%〜15%,숙박,서울 중구 퇴계로 145 세종호텔
2,경남,거제삼성호텔 ,연중 객실할인,2017.1.1,,055-631-2114,http://www.sghotel.co.kr/main.do,객실  55%˜62%내외,숙박,경남 거제시 장평3로 80-37
3,경기,베어스타운리조트,연중 객실할인,2016.11.25,,02-456-2014,https://www.cielsportsmedia.co.kr,프로모션(패키지상품)위주로  운영/ 현장결재(최저가보장)/ 씨엘스포츠 폐쇄몰 이용,숙박,경기 포천시 내촌면 금강로2536번길 27
4,강원,하이원리조트,연중 객실할인,2017.6.19,,1588-7789,https://www.high1.com/www/index.do,프로모션(패키지상품)위주로  운영/ 현장결재(최저가보장),숙박,강원 정선군 고한읍 하이원길 424
5,강원,용평리조트 객실할인,연중 객실할인,2016.7.1,,02-456-2014,https://www.yongpyong.co.kr/,프로모션(패키지상품)위주로  운영/ 현장결재(최저가보장)/씨엘스포츠 폐쇄몰 이용,숙박,강원 평창군 대관령면 올림픽로 715
6,경남,코오롱호텔(경주),연중 객실할인,2016.7.26,,1600-8668,https://www.kolonhotel.co.kr/,30% ˜ 50%/ 분기별 프로모션 제공으로 할인율 변동 있음,숙박,경북 경주시 불국로 289-17
7,경남,코오롱 씨클라우드호텔(해운대),연중 객실할인,2016.7.26,,051-933-1000,https://seacloudhotel.com/,30% ˜ 50%/ 분기별 프로모션 제공으로 할인율 변동 있음,숙박,부산 해운대구 해운대해변로 287
8,경남,코오롱 마우나오션리조트(경주),연중 객실할인,2016.7.26,,054-740-0500,https://www.maunaoceanresort.co.kr/,30% ˜ 50%/ 분기별 프로모션 제공으로 할인율 변동 있음,숙박,경북 경주시 양남면 동남로 982
9,경기,호텔더숨포레스트,연중 객실할인,2016.10.1,,1577-2777,https://hotelthesoom.modoo.at/,20% ˜ 30%,숙박,경기 용인시 처인구 포곡읍 성산로 633
10,경남,거제 디클라우드펜션&리조트,연중 객실할인,2017.2.16,,055-682-0102,http://www.sean-sky.co.kr/,30% ˜ 50%/ 분기별 프로모션 제공으로 할인율 변동 있음,숙박,경남 거제시 일운면 와현1길 23-1
11,서울,코리아나호텔,연중 객실할인,2018.5.1,,02-2171-7842,https://www.koreanahotel.com/index.htm?,73%〜76%,숙박,서울 중구 세종대로 135 코리아나호텔
12,서울,신라스테이마포호텔,연중 객실할인,2018.5.3,,02-2230-0700,https://www.shillastay.com/mapo/index.do,60%〜72%,숙박,서울특별시 마포구 마포대로 83
13,서울,신라스테이서대문호텔,연중 객실할인,2018.5.3,,02-2230-0700,https://www.shillastay.com/seodaemun/index.do,60%〜72%,숙박,서울특별시 서대문구 충정로 76
14,인천,네스트호텔,연중 객실할인,2018.6.19,,032-743-9000,https://www.nesthotel.co.kr/#,수시 프로모션(패키지)상품으로  운영,숙박,인천 중구 영종해안남로 19-5
15,제주,제주다인오세아노호텔앤리조트,연중 객실할인,2018.10.1,,1811-0012,http://www.dyneoceano.com/,객실할인50% 내외/ 바베큐등 할인제공,숙박,제주 제주시 애월읍 애월해안로 394
16,서울,롯데씨티호텔 마포점,연중 객실할인,2018.10.1,,02-771-1004,https://www.lottehotel.com/mapo-city/ko.html,,숙박,서울 마포구 마포대로 109
17,서울,롯데씨티호텔 구로점,연중 객실할인,2018.10.1,,02-771-1004,https://www.lottehotel.com/guro-city/ko.html,객실할인 40%~60%,숙박,서울 구로구 디지털로 300 지밸리비즈플라자
18,서울,롯데씨티호텔 대전점,연중 객실할인,2018.10.1,,02-771-1004,https://www.lottehotel.com/daejeon-city/ko.html,객실할인 40%~60%,숙박,대전 유성구 엑스포로123번길 33 롯데시티호텔대전
19,서울,롯데호텔(소공동),연중 객실할인,2019.5.1,,02-759-7311,https://www.lottehotel.com/daejeon-city/ko.html,프로모션(패키지상품)으로  운영/ 40% 〜 50% 상품별 상이,숙박,서울 중구 을지로 30
20,서울,켄싱턴호텔 여의도 지점,연중 객실할인,2019.5.13,,1670-7461,https://blog.naver.com/kyoido,프로모션(패키지상품)위주로  운영/ 60% 〜 70%,숙박,서울 영등포구 국회대로76길 16
21,강원,켄싱턴호텔 평창 지점,,2019.5.13,,1670-7461,https://www.kensington.co.kr/hpc/,프로모션(패키지상품)위주로  운영/ 60% 〜 70%,숙박,강원 평창군 진부면 진고개로 231
22,강원,켄싱턴호텔 설악 지점,,2019.5.13,,1670-7461,https://kensington.co.kr/hsr,프로모션(패키지상품)위주로  운영/ 60% 〜 70%,숙박,강원 속초시 설악산로 998
23,부산,신라스테이해운대,연중 객실할인,2019.10.15,,02-22300700,https://www.shillastay.com/haeundae/index.do,50%〜72%/ 겨울/여름성수기 이용 제한,숙박,부산광역시 해운대구 해운대로570번길 46
24,강원,라마다호텔(평창),연중 객실할인,2019.8.22,,033-333-1000,http://www.pyeongchangramadahotel.com/,객실할인 40%~60%,숙박,강원 평창군 대관령면 오목길 107
25,강원,풍림아이원호텔&리조트(평창),연중 객실할인,2019.8.22,,02-528-6001,https://www.iwantresort.co.kr/resort/kr/index.lime,객실할인 40%~60%,숙박,강원 평창군 대관령면 솔봉로 471
26,부산,아스티부산호텔,연중 객실할인,2019.8.22,,051-409-8888,https://astihotel.co.kr/,40%〜75%내외,숙박,부산 동구 중앙대로214번길 7-8
27,대구,대구그랜드호텔,연중 객실할인,2019.8.22,,053-742-0001,http://www.daegugrand.co.kr/grand/main/index.php,40%〜75%내외,숙박,대구 수성구 동대구로 305 그랜드관광호텔
28,제주,아스타호텔 제주,연중 객실할인,2019.8.22,,064-710-1111,http://www.hotelastar.com/,40%〜75%내외,숙박,제주 제주시 서사로 129 ASTAR HOTEL
29,제주,그라벨제주호텔,연중 객실할인,2019.8.22,,064-740-8000,https://blog.naver.com/NBlogTop.naver?isHttpsRedirect=true&blogId=grabelhoteljeju,40%〜75%내외,숙박,제주 제주시 일주서로 7316
30,서울,글래드호텔 여의도,연중 객실할인,2019.8.22,,02-6222-5000,https://www.glad-hotels.com/yeouido/index.do,객실40%〜60%내외/ 레스토랑할인10%,숙박,서울 영등포구 의사당대로 16
31,서울,글래드호텔 마포,연중 객실할인,2019.8.22,,02-6222-5000,https://www.glad-hotels.com/mapo/index.do,객실40%〜60%내외/ 레스토랑할인10%,숙박,서울 마포구 마포대로 92 효성해링턴스퀘어 A동 9층
32,부산,농심호텔,연중 객실할인,2019.8.22,,051-550-2100,https://www.hotelnongshim.com/kr/?ref=aHR0cHM6Ly9zZWFyY2gubmF2ZXIuY29tL3NlYXJjaC5uYXZlcj9zbT10YWJfaHR5LnRvcCZ3aGVyZT1uZXhlYXJjaCZxdWVyeT0lRUIlODYlOEQlRUMlOEIlQUMrJUVEJTk4JUI4JUVEJTg1JTk0Jm9xdWVyeT0lRUElQjglODAlRUIlOUUlOTglRUIlOTMlOUMrJUVEJTk4JUI4JUVEJTg1JTk0KyVFQiVBNyU4OCVFRCU4RiVBQyZ0cWk9aFhNbmV3cHJ2T3Nzc1BSRU01b3Nzc3NzdDI0LTE2Mzk4Mw%3D%3D,40%〜75%내외,숙박,부산 동래구 금강공원로20번길 23 호텔농심
33,경북,호텔 금오산,연중 객실할인,2019.8.22,,054-450-4000,https://hotelgeumosan.com/,40%〜75%내외,숙박,경북 구미시 금오산로 400
34,강원,인제스피디움,연중 객실할인,2019.8.22,,1644-3366,https://www.speedium.co.kr/,40%〜75%내외,숙박,강원 인제군 기린면 상하답로 130 인제스피디움
35,서울,포포인츠 바이 쉐라톤 강남호텔,연중 객실할인,2019.8.22,,02-2160-8990,https://www.marriott.co.kr/hotels/travel/selfg-four-points-seoul-gangnam/,40%〜75%내외,숙박,서울 강남구 도산대로 203
36,서울,베스트웨스턴프리미어 서울가든호텔,연중 객실할인,2019.8.22,,02-710-7111,http://www.seoulgarden.co.kr/,40%〜75%내외,숙박,서울 마포구 마포대로 58 가든호텔
37,제주,씨에스호텔앤리조트,연중 객실할인,2019.8.22,,064-735-3000,http://www.seaes.co.kr/,40%〜75%내외,숙박,제주 서귀포시 중문관광로 198
